"u,N,18,0","v,N,18,0","name,C,80"
1253011499,4310914243,
1253014981,1264330375,Mariscal Benavides
1253014981,1284563227,Garanios
1253020294,1264359327,Calle Consuelo
1253020294,10923389495,Calle Cruz Verde
1253020294,1264287539,Calle Cruz Verde
1253020294,5203439967,Calle Consuelo
1253023725,5375734630,Tabada
1253023725,1264284698,Calle Issac Recabarren
1253023725,5200744116,Calle Issac Recabarren
1253032353,4371614092,Pasaje San Isidro
1253032353,5391127553,Avenida Luna Pizarro
1253032353,4209896988,Luna Pizarro
1253034020,1264310156,
1253034020,5375734628,Calle Jose Baquijano
1253034020,5375241824,"['Calle Jose Baquijano', 'Callle Micaela Bastidas']"
1253034193,5391148528,Fransisco Mostajo
1253034193,5391144407,Fransisco Mostajo
1253034193,4728634833,
1253035248,5391127578,
1253035248,1264338667,
1253035395,1264349520,Calle Ernesto Loreto
1253035395,1264314482,Avenida Garaycochea
1253035395,1264328637,Calle Ernesto Loreto
1253035570,11022922832,Sebastian Barranca
1253035570,11022922831,Sebastian Barranca
1253035570,11019063610,
1253035660,4279219156,Calle Paucarpata
1253035660,11090425224,Avenida Goyeneche
1253035660,11090407290,Octavio Munoz Najar
1253035660,11090425225,Avenida Jorge Chavez
1253036907,4446573347,Nicolas SIlva
1253036907,5381354357,Manuel Belgrano
1253036907,5375593653,Manuel Belgrano
1253036907,1264330307,Nicolas SIlva
1253037009,11001873361,La Union
1253037009,5394918858,
1253037009,5394912596,Marani
1253037869,1264359790,Calle Alvarez Thomas
1253037869,1264367937,Calle Tristan
1253037869,11068021144,Calle Alvarez Thomas
1264281008,5412216245,Avenida Zamacola
1264281008,1264293706,Avenida Zamacola
1264281009,5377965385,Republica de Chile
1264281009,11012708629,Republica de Chile
1264281009,1264328798,Avenida Republica de Argentina
1264281015,5379274787,
1264281373,1264368161,Portal de la Municipalidad
1264281373,5169434121,Portal de las Flores
1264281373,2905764712,General Moran
1264281373,11068021154,Calle Alvarez Thomas
1264281454,1264281454,Parque la Perlita
1264281454,1264284932,La Perlita
1264281629,5391078859,
1264281629,5391078543,
1264281629,5391078861,
1264281721,4232665796,Calle Paucarpata
1264281721,1264291622,Calle Paucarpata
